Pierszé <extra_id_0> jaczi pòzwã pòdónô bëła w fòrmie "Poblocz" pòchôdô z 1401 rokù.	<extra_id_0> wiadło ò wsë, <extra_id_1>
Pësznym dzélã parkù wierã je ògardowi parter kwiatowò-pażëcowi, jaczimù towarzą pò wschódny ë <extra_id_0> szpalérë.	<extra_id_0> zôchòdny stronie grôbkòwé <extra_id_1>
Ùspiewa - pòdług wierzeniô niechtërnëch Kaszëbów to <extra_id_0> jin.	<extra_id_0> bëło spiéwanié m. <extra_id_1>
Je to 988 rok naszi <extra_id_0> Christusa), 988. rok pierszégò tësąclecégò, 88. rok X stolatégò, 8. rok 9-égò dzesãcolecô X stolatégò.	<extra_id_0> erë (pò narodzenim <extra_id_1>
Ditrich – rãczné nôrzãdło, <extra_id_0> np.	<extra_id_0> chtërno brëkùją czasã <extra_id_1>
Bëła sparłączenim dłudżich rozcënonëch bùksków i kòszlë noszonëch przez <extra_id_0> 70. XIX stalatégò.	<extra_id_0> białczi w latach <extra_id_1>
Smiecë nie <extra_id_0> pò òkòlim, a nôbarżi fòlie, papiorë a jiné papiórczi.	<extra_id_0> zbiéróné mògą lôtac <extra_id_1>
Je to 876 rok naszi <extra_id_0> Christusa), 876. rok pierszégò tësąclecégò, 76. rok IX stalatégò, 6. rok 8-égò dzesãcolecô IX stalatégò.	<extra_id_0> erë (pò narodzenim <extra_id_1>
Kòszalëno (we <extra_id_0> pòl.	<extra_id_0> zdrojach: Kòszaléno (Cenôwa); <extra_id_1>
Lëpin (Lupinus L.) <extra_id_0> szlach roscёnów z rodzëznë bòbòwatëch.	<extra_id_0> – to je <extra_id_1>
Stojizna <extra_id_0> zmieniwac w strzédnych stalatach, czej warzeniém zajãłe sã klôsztornicë.	<extra_id_0> na naczãła sã <extra_id_1>
Pòzwa pijarzë pòchôdô òd słowa z łacëznr “pius” czili “pòbòżny”, pòjawiający sã <extra_id_0> "Scholae Piae", co oznaczô: „Szkòłë Pòbòżné”.	<extra_id_0> w łacëznowi nazwie <extra_id_1>
Miles Davis, <extra_id_0> saxofonista (ùm.	<extra_id_0> jazzowi kompozitora ë <extra_id_1>
Złotowò (we zdrojach: Vulatovum 1370, Welatowo, <extra_id_0> XV w., Slothowo 1491, Plotho XVIII w., Flatow, Złotowo;Złetowo(Cenôwa); pòl.	<extra_id_0> Zlothaue, Majus Zlothkowo <extra_id_1>
Jinaczi <extra_id_0> miastach.	<extra_id_0> to wëzdrzi w <extra_id_1>
Wilczô jagòdã mòżnô spòtkac przede wszëtczim na krôncach lasow <extra_id_0> pòrãbach.	<extra_id_0> i nô lesnëch <extra_id_1>
W 1865 rokù jedna z <extra_id_0> kòscérsczim krézu.	<extra_id_0> nich bëła w <extra_id_1>
Nen je téż zwóny "Rańską Brómą" temù jëż <extra_id_0> bana ë szaséjô na Ranã.	<extra_id_0> z niegò jidze <extra_id_1>
Do kùńca <extra_id_0> dniów.	<extra_id_0> roku je 75 <extra_id_1>
"Ùdôł sã w nocë <extra_id_0> na strądze niedalek Rozewiô leżałë ògromné kamienie.	<extra_id_0> nad mòrze, dze <extra_id_1>
Na początku krãdżi <extra_id_0> apartnёch rodów „òbrôbiającёch” smãtôrzёskò.	<extra_id_0> bёłё môlã zéńdzeniów <extra_id_1>
Òn béł ju baro <extra_id_0> swiece.	<extra_id_0> dôwno temù na <extra_id_1>
Jeżlë mecz kùńczi <extra_id_0> zarządzywô seriã sztrôfòwëch rzutów.	<extra_id_0> sã remisã, arbiter <extra_id_1>
Òni ùsëpele òstrowë i retczi <extra_id_0> a nawetka całi je zasëpale i tam dzys są łączi.	<extra_id_0> na kaszëbsczëch jezorach, <extra_id_1>
Alior Bank - <extra_id_0> w Pòlsce.	<extra_id_0> to je bank <extra_id_1>
Zwëczajny <extra_id_0> (Regulus regulus) — to je môłi ptôch z rodzëznë mëszélcowatëch (Regulidae).	<extra_id_0> mëszélc abò mëszikról <extra_id_1>
Pôłniowi ë zôpadny part Kòreji to <extra_id_0> a pòrénkòwi ë nordowi są barżi górzistim môlã.	<extra_id_0> dobrze rozwiti rówiznë, <extra_id_1>
Rosce <extra_id_0> glebach.	<extra_id_0> na podmokłych <extra_id_1>
Jistniczi <extra_id_0> òznôczają òsobë, charakterizëją sã òsoblëwą kategorią chłopskòpersonowoscë.	<extra_id_0> chłopsczégò ôrtu, chtërne <extra_id_1>
Jegò wielné <extra_id_0> razã rzmë lëdzy.	<extra_id_0> pielgrzimczi wiedno zbiérałë <extra_id_1>
Na pôłnie òd <extra_id_0> Dolnoszląsczé Borë, skądka wëpłëwają ë wpôdają do rzéczi Bóbr jegò lewòstarnowe dolecënë: Kwisa ë Czerna.	<extra_id_0> gardu rozcëgają sã <extra_id_1>
Je to 1844 rok naszi erë (pò narodzenim Christusa), 844. rok <extra_id_0> rok XIX stolatégò, 4. rok 5-égò dzesãcolecô XIX stolatégò.	<extra_id_0> drëdżégò tësąclecô, 44. <extra_id_1>
Równak to sã nie dało, <extra_id_0> i mùszôł przińc nazôt do òjczëznë.	<extra_id_0> bo cãżkò zachòrzôł <extra_id_1>
Dlôte drãgò akùrôtno definiowac, chtërną z historëcznych sztatur mòże <extra_id_0> a chtërną za Miemca abò Pòlôcha kaszëbsczégò pòchòdzënkù.	<extra_id_0> ùznac za Kaszëba, <extra_id_1>
To je jegò <extra_id_0> zagwësnił mù pòczestny môl w dzejach całi kaszëbsczi pismieniznë.	<extra_id_0> wôżny dokôz, chtëren <extra_id_1>
Pierszi rezownik europejsczi w Aùstralëjô to beł Abel Tasman z Niderlandzkô, chtëren w <extra_id_0> miono Nieuw Holland - Nowo Niderlandzko, i ostrowe Tasmaniji jigo miono.	<extra_id_0> 1646 dawa kontinentowi <extra_id_1>
Na <extra_id_0> plachë.	<extra_id_0> bòkù mają czôrné <extra_id_1>
Pòwiesc - zort lëteraturë piãkny, narracyjny dokôz, <extra_id_0> cyg zdarzeniów.	<extra_id_0> chteren òpisywô rozbǜdowóny <extra_id_1>
To je swiatowi òstrzódk dlô letników z baro bòkatnyma <extra_id_0> ë strzédnych wieków (kòscołë, bazyliczi, Kòloseùm, akweduktë, fòntanë ë wiele jinszich bùdinków).	<extra_id_0> zaòstałoscama ze starożëtnoscë <extra_id_1>
Bédowôno jinszi pòzwe <extra_id_0> Central i Manchester Celtic.	<extra_id_0> taczi jak Manchester <extra_id_1>
Dzób <extra_id_0> czôrné.	<extra_id_0> i nodżi mô <extra_id_1>
Biég maratońsczi chłopów tradycyjnie <extra_id_0> olimpijsczi.	<extra_id_0> kùńczi kòżdi jigrzëska <extra_id_1>
Chòdzy <extra_id_0> do 1 sekùndë na 300 000 lat.	<extra_id_0> z dokładnoscą co <extra_id_1>
Wedle Édwarda Burnetta Tylora kùltura je złożoną całownotą, jakô òbjimô wiédzã, wierzenia, kùńszt, òbëczajnotã, prawa, zwëczi i jiné szëczi i nôłożënczi <extra_id_0> jakno nôleżników spòlëznë.	<extra_id_0> zwëskóné przez lëdzy <extra_id_1>
Szło ò to, że dzecë miałë sã ùczëc religie blós pò niemieckù, a ni mògłë do se pò kaszëbskù <extra_id_0> gôdac.	<extra_id_0> (czë pò pòlskù) <extra_id_1>
Doktorat on <extra_id_0> rokù.	<extra_id_0> skùńcził w 1984 <extra_id_1>
Na zacht òbéńdach (kòl 16,5 mln km²) Azeji są pùstinie, chtërne są w conach zwartnikòwej (Arabsczi Pòłòstrów, Hindustańskô Niżawa), pòdzwartnikòwej (pùstinie Jiranu) <extra_id_0> letnéj, kòntinentalnej (Turańskô Niżawa, Kaszgarskô Wlëga.	<extra_id_0> jakno téż w <extra_id_1>
Budacëjô <extra_id_0> grzëba.	<extra_id_0> <extra_id_1>
Pòczątczi <extra_id_0> trudny.	<extra_id_0> panowaniô bëłë baro <extra_id_1>
Zómkòwëch bëło kòle <extra_id_0> grëpë ricerze i pò pôrã germków a knechtów na kòżdégò.	<extra_id_0> 100 lëdzy, do <extra_id_1>
Encyklopedijô je kòmpendium wiedzbë, spisónym w hasłach <extra_id_0> wedle témów.	<extra_id_0> ùpòrządkòwónëch alfabétno, rzadzy <extra_id_1>
Dzysô znóné są przédno <extra_id_0> tikającé szkòłowiznë na Pòmòrzim.	<extra_id_0> jegò nôùkòwé dokôzë <extra_id_1>
Niebò w <extra_id_0> bez pôrã pòstãpnych dniów.	<extra_id_0> nocë bëło jasné <extra_id_1>
Pòlsczé pòjimanié grańców <extra_id_0> przëszerné.	<extra_id_0> Pòmòrsczi je baro <extra_id_1>
Jegò starszi gôdelë do niégò pò kaszëbskù <extra_id_0> nie doma tak gôdelë.	<extra_id_0> i wszëtcë kòl <extra_id_1>
Martin <extra_id_0> (ùr.	<extra_id_0> Shulist <extra_id_1>
Krëjamni <extra_id_0> Grif"	<extra_id_0> Wòjskòwi Òrganizacëji "Pòmòrsczi <extra_id_1>
Miemcë mają gò <extra_id_0> zabité.	<extra_id_0> w kòncentracyjnym lagrze <extra_id_1>
Tamara de Lempicka, (pòl. Tamara Łempicka, 1898-1980), to bëła achtnionô pòlskô artistkô <extra_id_0> Art Deco, malëjącô w sztélu kùbisticznô-neoklasicznem, znóna z ji òbrôzów gòłéch białek i pòrtrétów aristokratów óras ji biseksualnéch romansów.	<extra_id_0> malôrka z epoki <extra_id_1>
Cenkô sycëna (Juncus tenuis Willd.) - to je <extra_id_0> rodzëznë sycënowatëch (Juncaceae).	<extra_id_0> wielelatnô roscëna z <extra_id_1>
W sylwestową noc młodzëzna strzélała z <extra_id_0> wëgónia stôri rok.	<extra_id_0> batugów i trzôskiem <extra_id_1>
Jakno <extra_id_0> w Łãgù.	<extra_id_0> ksądz béł nôprzód <extra_id_1>
Séwnica - to je <extra_id_0> np.	<extra_id_0> maszina do seniô <extra_id_1>
Dzysô taczé <extra_id_0> ùtwórców rzôdkò mòże ju spòtkac.	<extra_id_0> òbrazë i jich <extra_id_1>
W <extra_id_0> jesz: Rodnô zemia (	<extra_id_0> pózniészich latach wëszłë <extra_id_1>
Terô <extra_id_0> Łemkòwie.	<extra_id_0> to prawie są <extra_id_1>
Òna zajimô <extra_id_0> spadkòwiznë i tim cobë lëdzë bëlë sobie równy pòdług prawa.	<extra_id_0> sã sprawama kùlturowi <extra_id_1>
Gòląbk Eùgeniusz, Wiéldżi pòlskò – kaszëbsczi słowôrz, Tom I, II <extra_id_0> Zrzeszenié, Gduńsk 2013.	<extra_id_0> Kaszëbskò – Pòmòrsczé <extra_id_1>
Wtikòwô bùska – ta szczëpnica przédôwô sã do przëłączaniô do ni òdbiérników elektriszowi energie, a <extra_id_0> je dzélã elektriszowi jinstalacje.	<extra_id_0> na ògle òna <extra_id_1>
Karwôtka – to <extra_id_0> żakét.	<extra_id_0> je przedłëżony dwarégòwi <extra_id_1>
Danuta <extra_id_0> (ùr.	<extra_id_0> Stenka <extra_id_1>
Są <extra_id_0> co mają lëstczi piłkòwóné abò ząbkòwóné.	<extra_id_0> téż nawetka drzéwiãta <extra_id_1>
Tu <extra_id_0> szkòła.	<extra_id_0> je kòscół i <extra_id_1>
Brda <extra_id_0> to je rzéka dłużawë 238 km.	<extra_id_0> (téż Dbra) - <extra_id_1>
Òd <extra_id_0> biskùpã.	<extra_id_0> 1986 rokù béł <extra_id_1>
Dłudżi czas bez ògrańczeniów <extra_id_0> wòdë.	<extra_id_0> bëłë wëzwëskiwónë pòdzémné <extra_id_1>
Wiérzchùcëno <extra_id_0> Rzeszë.	<extra_id_0> òstało w Niemiecczi <extra_id_1>
Pò rokù, òbczas chtërnégò ùmarlë jegò òjc ë <extra_id_0> do przédnëch prowôdników niédoszłégò pòwstaniô ë 17 lëstopadnika 1847 r., razã z 7 jinyma, òstôł skôzóny na smierc òbez scãcé topòrã.	<extra_id_0> brat, òstôł zaliczony <extra_id_1>
W swiece je równak jiwer z Wiôldżim Plachcem Smiecy na Pacyfikù, w chtërnym <extra_id_0> plasticzëznë.	<extra_id_0> je baro wiele <extra_id_1>
Czedë Łoczetk walcził na <extra_id_0> (mòżnowładcóm związanym z Branderbùrczikama), niemieccy mieszczaństwò Krakòwa pòd wòdzą wójta Alberta i biskùpa Jana Mùskatë rozpòczãło bùnt (1311-12 r.).	<extra_id_0> Pòmòrzu procëm Swiãcom <extra_id_1>
Bajki kaszubskie <extra_id_0> oprac. i adapt.	<extra_id_0> / wybór tekstów, <extra_id_1>
Warna abò gapa (Corvus cornix) — to je <extra_id_0> z rodzëznë krëkòwatich (Corvidae).	<extra_id_0> ôrt strzédnégò ptôcha <extra_id_1>
Wëprowôdzô nas z bezchwatnégò cała <extra_id_0> dze më czedës bëlë i co nas żdże w przëchadnym.	<extra_id_0> i pòkazëje nama, <extra_id_1>
Wawrzek Chowaniec, Molinista, Józek <extra_id_0> (ùrodzôł sã 12 strëmienika 1931 w Stôri Sącz,ùmarł 28 czérwica 2000 roku.	<extra_id_0> Szkolny, Jegomość Józek <extra_id_1>
Wąsotka (Lathraea L.) <extra_id_0> szlach roscënów z rodzëznë Orobanchaceae.	<extra_id_0> – to je <extra_id_1>
Na pôłnie òd Gaema Gowon wësoczi górë rozcygają <extra_id_0> ùbrzegù półòstrowa.	<extra_id_0> sã zdłużą pòrénkòwégò <extra_id_1>
Jeżlë Ksãżëc przesuwô sã przez stóżk półcénia Zemi i naléze sã w całoscë pòza stóżkã cénia <extra_id_0> zacmienim półcéniowim.	<extra_id_0> całownégò, zwiemë to <extra_id_1>
Epitet (przëdôwk, <extra_id_0> (przëdôwnik, jistnik abò przëczasnik), chtërno òpisowô jaczis przibiór, statk, òbiekt - na przëmiar: brzëdczi knôp, strasznô biéda, bilietnô kasa, lëchi pies, bijącô żëła.	<extra_id_0> flëczk) – słowò <extra_id_1>
Kroczné nodżi <extra_id_0> smùkłé.	<extra_id_0> są dłudżé i <extra_id_1>
Zgrëpioną zabùdowã mô leno Pòtãgòwò, w chtërnym mieszkô le 40 sztëk lëdzy, jaczé òb lato <extra_id_0> môlã òkòlégò.	<extra_id_0> je nôwôżniészim turistnym <extra_id_1>
Maszewò (we <extra_id_0> pòl.	<extra_id_0> zdrojach: Massow 1253; <extra_id_1>
Wëstãpùje <extra_id_0> Nordòwi, Azji.	<extra_id_0> w Eùropie, Afryce <extra_id_1>
Òd 1935 rokù <extra_id_0> Warszawsczim Ùniwersytece.	<extra_id_0> sztudérowôł pòlaszëznã na <extra_id_1>
Jezórne òczka, zamanówszë bezòdpłiwòwima wëtopiszczama <extra_id_0> kòl 50% terenu.	<extra_id_0> na wiéchrzëznie zajimają <extra_id_1>
Jegò <extra_id_0> Nanning.	<extra_id_0> grób je w <extra_id_1>
We <extra_id_0> w nôrzãdzôczu pòjedińczi lëczbë jistników chłopsczégò i dzecnégò ôrtu brëkòwóny je kùnôszk -ã.	<extra_id_0> wespółczasny lëteracczi kaszëbiznë <extra_id_1>
Je laùreatką Òrmùzdowi <extra_id_0> rok.	<extra_id_0> Skrë za 2012 <extra_id_1>
Dërdest <extra_id_0> to je szlach roscënów z rodzëznë dërdestowatëch.	<extra_id_0> (Polygonum L.) - <extra_id_1>
W <extra_id_0> ôrtów.	<extra_id_0> nim je 11 <extra_id_1>
W 2000 rokù <extra_id_0> pieszô pielgrzimka Swiãtëch Gór – òd Chełmsczi Górë do Pòlanowsczi.	<extra_id_0> ódbëła sã pierszô, <extra_id_1>
Wëjazdë <extra_id_0> wëmienionëch krajów bëłë w nym czasu czãsto sezonowé.	<extra_id_0> do òstatnégò z <extra_id_1>
Òd 1984 rokù òn béł profesorã, <extra_id_0> rokù biskùpã sufraganã diecezji chełmińsczi.	<extra_id_0> a òd 1988 <extra_id_1>
Je jich <extra_id_0> òsmiu.	<extra_id_0> òd trzech do <extra_id_1>
Czerwona Księga <extra_id_0> 2015.1.	<extra_id_0> Gatunków Zagrożonych Wersja <extra_id_1>
Tu <extra_id_0> szkòła.	<extra_id_0> je kòscół ë <extra_id_1>
Wòlnostojący, <extra_id_0> szafë stół grë nazéwóny je kòntuarã.	<extra_id_0> nieprzëległi do òrganowi <extra_id_1>
Pòjawienié sã nowégò wirusa prowadzy do masowëch zachòrzeniów na całim swiece, co dôwô <extra_id_0> przez pandemie na czile kòntinentach.	<extra_id_0> ò se znac <extra_id_1>
Czasã <extra_id_0> pótkac w jinszich krézach Eùropë Zapódny ë Westrzédny.	<extra_id_0> mòżna ją téż <extra_id_1>
Ekòlogòwô żëwnota – je bëlnô, nieskażony i niezmòdernizowóny, ale przë ùtrzimanim brzadnoscë zemi mòżlëwie <extra_id_0> je ze zwierzãcą produkcją.	<extra_id_0> nôtërnyma szëkama, jistno <extra_id_1>
Za czasów Karela IV Praga <extra_id_0> gardã w Eùropie.	<extra_id_0> bëła trzecym nôwikszim <extra_id_1>
Dostôł titel nôleżnika ë kòrespòndenta <extra_id_0> pòzdze dedikòwôł swòjã dochtórską rozprawã.	<extra_id_0> ti jinstitucji, chtërny <extra_id_1>
Nordowô Kòreja pòdzélonô je na dzewiãc <extra_id_0> òbéńdë ë dwa gardë sprôwióny bez rząd (chikhalsi, 직할시, 直轄市).	<extra_id_0> prowincjów, trzë specjalnë <extra_id_1>
Żeńba <extra_id_0> szczestlëwô ani dlô pòétë, ani dlô jegò białczi.	<extra_id_0> ta nie bëła <extra_id_1>
W tich stronach <extra_id_0> kaszëbsczi jãzëk ë zwëczi.	<extra_id_0> długò ùchòwôł sã <extra_id_1>
Òd 2017 rokù òn je <extra_id_0> Panamie.	<extra_id_0> apòstolsczi nuncjusz w <extra_id_1>
Jegò pierszé wëdanié ùkôzało sã <extra_id_0> 1834 rokù.	<extra_id_0> w Pariżu w <extra_id_1>
Zorte trusów bëlë sztëczno robiony <extra_id_0> célów.	<extra_id_0> przez człowieka,dló rozmajitich <extra_id_1>
M.jin. <extra_id_0> Kaszëbsczi Szlach.	<extra_id_0> tądkã jidze turistny, <extra_id_1>
Cãżczé czasë ë dzeje jegò żëwòta nie <extra_id_0> ò nim.	<extra_id_0> zletczają dozéraniégò pamiãcë <extra_id_1>
Ten òbrôz namalowôł kòl <extra_id_0> Memling, a terô òn je w Nôrodnym Mùzeum w Gduńskù.	<extra_id_0> 1467-1471 rokù Hans <extra_id_1>
Mòst – to je ôrt przedostënkù <extra_id_0> bùdacji, chtërni kònstrukcjô pòzwôlô na sfórtowanié wòdni zôwadë.	<extra_id_0> w pòstacji inżinérny <extra_id_1>
Gôdka Krôj ë <extra_id_0> w spòrze przekôzywô wiédzã racjonalną, czej wiédzã irracjonalną wësłôwiô jinô gôdka: "Swiãti Jack wstrzimôł mòrze, że sã dali pòsëwac ni mòże", wërôstającą z pòmòrzczich legeńd ò sw.	<extra_id_0> mòrze wiedno są <extra_id_1>
Wiele razy w państwie <extra_id_0> pòjedinczi mònetë.	<extra_id_0> to je 1/100 <extra_id_1>
Dzysdniowò ùznóné są leno sztërë z <extra_id_0> przëbòrów.	<extra_id_0> piãcu mòżlëwëch ôrtów <extra_id_1>
Do Chile słëchô <extra_id_0> Òceanie, jakò òstrowina Juan Fernandez i pòlinezejsczi Rapa Nui - Jastrowi Òstrów, 3200 km na zôchòd od chilejsczégò ubrzéża.	<extra_id_0> wiela òstrówów w <extra_id_1>
Chmiél (Humulus lupulus) – to je wielelatnô <extra_id_0> kònoplowatëch (Cannabaceae).	<extra_id_0> roscëna z rodzëznë <extra_id_1>
Òn <extra_id_0> we Lwòwie, a za swoje dzeło: Słownik języka pomorskiego czyli kaszubskiego béł wëprzédniony w 1889 rokù nôdgrodą Akademii Umiejãtnoscë w kònkùrsu miona Lindegò.	<extra_id_0> sztudirowôł na Ùniwersytece <extra_id_1>
We Francji <extra_id_0> o parminieniu pierwiôstka ùranu, baderowanégò przez Henriégò Bacquerele.	<extra_id_0> Mariô dowiedzëła sã <extra_id_1>
Môl <extra_id_0> czej òpisóny dzél lądowi wiéchrzëznë.	<extra_id_0> - kożderny, równo <extra_id_1>
Alpejskô òrogeneza sprawiła <extra_id_0> Gór.	<extra_id_0> rësznotã westrzód Wòdodzéłowich <extra_id_1>
Bëł to dobri <extra_id_0> wòlnégò czasu.	<extra_id_0> spòsób na spãdzanié <extra_id_1>
Pólny mak (Papaver rhoeas L.) – <extra_id_0> roscënë z rodzëznë makòwatëch (Papaveraceae Juss.).	<extra_id_0> to je ôrt <extra_id_1>
Je wiedzec, <extra_id_0> Sumerów, Mezopòtamie, chtëren béł midzë Tigrisã a Eùfratã, warzëlë nen napitk, le nie je wiedzec na jaczi spòsób Sumerowie ùsadzële receptë.	<extra_id_0> że w kraju <extra_id_1>
Hiacynt <extra_id_0> mineral.	<extra_id_0> - to je <extra_id_1>
Pôłniowô Amerika – <extra_id_0> swiata.	<extra_id_0> to je dzél <extra_id_1>
Miona Szawłowëch starszëch nie są <extra_id_0> wiedzec, że òn pòchòdzył z rodzëznë żëdowsczi, z pokoleniégò Beniamina (Rdz 11,1; Flp 3,5).	<extra_id_0> znóné, równak je <extra_id_1>
Slëmiéń, jak <extra_id_0> je ôrtã pòd akùrôtną òchrónią.	<extra_id_0> wszëtczé naje gadzënë, <extra_id_1>
Chemijô je <extra_id_0> materëji.	<extra_id_0> ùczbą ò sztrukturze <extra_id_1>
Swiãti Francëszk rozlubił <extra_id_0> frańcësczim,dlôte nazwalë gò Francëszkã.	<extra_id_0> sã w jãzëkù <extra_id_1>
Richard Galliano (ùr. 12 <extra_id_0> – francusczé ùtwórca i multiinstrumentalista, akòrdionista-wirtuoz.	<extra_id_0> gòdnika w Cannes <extra_id_1>
W skłôd materii <extra_id_0> rozmajité problemë.	<extra_id_0> kònstitucji mògą wchòdzëc <extra_id_1>
Pierszé wiadło ò <extra_id_0> w 1288 rokù.	<extra_id_0> Krokòwi je zapisóné <extra_id_1>
Czakawsczim dialektã gôdô <extra_id_0> Chòrwacczi, òsoblëwie w Istrëji ë Dalmacczi.	<extra_id_0> sã z zôpôdné <extra_id_1>
Róman Drzéżdżón dôwô bôczënk na pòwôżny problem z <extra_id_0> frantówczi.	<extra_id_0> bëlnym pisënkã tekstu <extra_id_1>
Miemieckô rozdzélô sã na 295 <extra_id_0> gardów wëapartnionëch z krezu.	<extra_id_0> krezów ë 107 <extra_id_1>
Tu <extra_id_0> mieszkało750 lëdzy.	<extra_id_0> w 2008 rokù <extra_id_1>
Zamieszkuje jezora w zlewisku Mòrza Bôłtowi jak i górnô dorzeczni ca Wołdzi, w <extra_id_0> jezorze Waginer w Bawarii.	<extra_id_0> Anglii, Szkocji i <extra_id_1>
Séwny groszk (Lathyrus sativus L.) – to je ôrt jednoroczny (latny) rоѕсёnё <extra_id_0> (Fabaceae).	<extra_id_0> z rodzëznë bòbòwatëch <extra_id_1>
Ùtwòrzenié na znacznëch òbszarach scëłégò rezerwatu, a do te <extra_id_0> przëniosłë równak żôdnégò gwësnégò pòswiôdczenégò przetrwania wilkòwòra tasmańsczégò.	<extra_id_0> liczne ekspedycje nie <extra_id_1>
Drëdzim <extra_id_0> RCD Espanyol Barcelona, pòwstôł w 1900 rokù, wiele razy béł finalistą Pùcharu Szpanii i dwa razë w Lidze Europë, je téż méstrem grë w bala białków.	<extra_id_0> wiôldzim karnem je <extra_id_1>
Generalno mòże m.jin. ë przez to rzec, że Slackware je czerowóny do <extra_id_0> jaczi ledają barżi sómi miec cësk na kòntrolã nad instalowónëma programama.	<extra_id_0> barżi awansowónëch brëkòwników, <extra_id_1>
Ju <extra_id_0> lëdze zaczãlë bùdowac kòminë.	<extra_id_0> w IV wiekù <extra_id_1>
Ji <extra_id_0> ë kònzerwatistama.	<extra_id_0> nôleżnicë są pòjużnomëslnota <extra_id_1>
Òna je <extra_id_0> wôżnô w bënowim wëdzéliwaniu.	<extra_id_0> dosc małô i <extra_id_1>
Je to 1744 rok naszi erë (pò narodzenim Christusa), 744. rok drëdżégò tësąclecô, 44. rok XVIII <extra_id_0> 5-égò dzesãcolecô XVIII stolatégò.	<extra_id_0> stolatégò, 4. rok <extra_id_1>
Tegò <extra_id_0> widzec np.	<extra_id_0> ptôcha mòże tu <extra_id_1>
Mickewicz miôł sztërzech bracy: stôrszégò Frãcëszka <extra_id_0> Aleksandra, Jerzégò i Antóna.	<extra_id_0> i młodszich – <extra_id_1>
W òbéńdze szôłtëstwa pòłożoné sã mniészé <extra_id_0> Katrënczi.	<extra_id_0> kòlonie: Gròmadzënò ë <extra_id_1>
Czôrnogłowòwô miewa <extra_id_0> to je wiôldżi wòdny ptôch z rodzëznë miewów (Laridae).	<extra_id_0> (Ichthyaetus melanocephalus) - <extra_id_1>
Kółkò <extra_id_0> mechaniczny przërëchtënk do robieniô przãdzë np. z wełnë.	<extra_id_0> - to je <extra_id_1>
Smãtk - niepòzwónô dzys pòstacëjô, chtërna je gwësno przestarzałoscą <extra_id_0> a dzys je zapchniãta do rolë złegò dëcha abò diôbła.	<extra_id_0> pò pògańsczich wierzeniach, <extra_id_1>
Kaszëbsczé Karno <extra_id_0> "Kaszëbë"	<extra_id_0> Piesni i Tuńca <extra_id_1>
Òkróm tegò na Swiãti Górze są trzë klôsztorné <extra_id_0> Ikonë Matczi Bòsczi „Pòceszenié Wszëtczich Strôpionych” i Zasniãcô Bògùrodzëcë).	<extra_id_0> cerkwie (Pańsczégò Przemienieniô, <extra_id_1>
Je to 949 rok naszi erë (pò narodzenim <extra_id_0> pierszégò tësąclecégò, 49. rok X stolatégò, 9. rok 5-égò dzesãcolecô X stolatégò.	<extra_id_0> Christusa), 949. rok <extra_id_1>
Błaszczikòwsczi òstôł <extra_id_0> Gazetë Krakòwsczi nôlepszim piłkarzã Môłopòlsczi 2006 r.	<extra_id_0> wëbróny przez czëtińców <extra_id_1>
Pò kraju <extra_id_0> môłëch jezór.	<extra_id_0> rozsónëch je wiele <extra_id_1>
Zëmą w miastach, czedë lëdze <extra_id_0> wcale nie ùcekô.	<extra_id_0> dają mù jestkù, <extra_id_1>
Tu <extra_id_0> gòscyńc.	<extra_id_0> je pałac, dzysdnia <extra_id_1>
Òn je dosc <extra_id_0> -60°C.	<extra_id_0> mitczi do nawetka <extra_id_1>
Dwie <extra_id_0> zajimò ògón.	<extra_id_0> trzecy ti wôrtoscë <extra_id_1>
We wsë mieszkało <extra_id_0> 2005 rokù.	<extra_id_0> 99 lëdzy w <extra_id_1>
We Francëszkù Innocenti pòznôł knôpa ze swégò snu i zatwiérdzył francëszkańsczi spòsób <extra_id_0> mniéjszym głoszenié nawróceniô i pòkùtë.	<extra_id_0> żëcô, pòlecëł bracom <extra_id_1>
Domôcy kóń (Equus caballus L.) – to <extra_id_0> z rodzëznë kòniowatëch (Equidae).	<extra_id_0> je niepôrokòpëtny susk <extra_id_1>
Òd Aùstralëjscziej Platformë òddzelô ją <extra_id_0> czierënkù nordowo-pôłniowim.	<extra_id_0> systema òbsuwków ò <extra_id_1>
Z tegò <extra_id_0> jednëch tam, jinszich dze jindze.	<extra_id_0> lagru òni brelë <extra_id_1>
Kùrk – to je <extra_id_0> barni kòl kòmòrë na patronë.	<extra_id_0> dzél w strzélni <extra_id_1>
Sarczi czãsto wëżërają spiża <extra_id_0> pamiãtają gdze schòwałë swòjã jôdã.	<extra_id_0> wieszczówkóm, chtërnë nie <extra_id_1>
Kòl niegò <extra_id_0> kòscół.	<extra_id_0> krótkò je drëdżi <extra_id_1>
Przyczynek do ludoznawstwa i krajoznawstwa Kaszub, przekład M. Darska-Łogin, red. naukowa i wstęp <extra_id_0> 1911 - Gdańsk 2012, s. 95.	<extra_id_0> J. Borzyszkowski, Berlin <extra_id_1>
XIII <extra_id_0> pòl.	<extra_id_0> w., Cammin; <extra_id_1>
Skłôdają je <extra_id_0> w pòblëżim, czãsto na płëwającëch abò zagłãbionëch roscenach.	<extra_id_0> pòd wòdą abò <extra_id_1>
